avg_finish,champ,conf,g,l,name,perc,poff_g,poff_l,poff_perc,poff_w,sb,t,w,yrs
11.0,0,0,13,13,Fay Abbott,0.0,0,0,,0,0,0,0,2
2.7,0,0,36,16,Frankie Albert,0.543,1,1,0.0,0,0,1,19,3
10.5,0,0,18,8,Doc Alexander,0.5,0,0,,0,0,2,8,2
3.7,,,36,28,Dennis Allen,0.222,0,0,,0,,0,8,3
1.9,0,1,168,47,George Allen,0.712,9,7,0.222,2,0,5,116,12
2.0,1,0,36,11,Hunk Anderson,0.676,2,1,0.5,1,0,2,23,4
5.9,0,0,82,27,Roy Andrews,0.654,0,0,,0,0,4,51,8
2.0,,,48,14,Bruce Arians,0.708,1,1,0.0,0,,0,34,3
5.0,0,0,9,2,John Armstrong,0.714,0,0,,0,0,2,5,1
3.5,0,0,64,34,Neill Armstrong,0.469,1,1,0.0,0,0,0,30,4
4.7,,,35,28,Bill Arnsparger,0.2,0,0,,0,,0,7,3
4.5,0,0,56,36,Bill Austin,0.321,0,0,,0,0,3,17,4
3.3,0,0,48,27,Joe Bach,0.438,0,0,,0,0,0,21,4
4.3,0,0,20,16,Herman Ball,0.2,0,0,,0,0,0,4,3
16.0,0,0,3,2,Shorty Barr,0.333,0,0,,0,0,0,1,1
5.5,1,0,26,8,Norm Barry,0.667,0,0,,0,0,2,16,2
4.0,,,7,4,Jim Bates,0.429,0,0,,0,,0,3,1
12.0,0,0,5,5,Dim Batterson,0.0,0,0,,0,0,0,0,1
2.5,0,0,21,16,Cliff Battles,0.2,0,0,,0,0,1,4,2
3.0,0,0,42,24,Sammy Baugh,0.429,0,0,,0,0,0,18,3
7.0,0,0,40,20,Bull Behman,0.375,0,0,,0,0,7,12,3
1.8,4,6,336,113,Bill Belichick,0.664,31,9,0.71,22,4,0,223,21
4.7,0,0,58,46,Bert Bell,0.179,0,0,,0,0,2,10,6
3.5,0,0,47,25,Phil Bengtson,0.457,0,0,,0,0,1,21,4
2.6,0,0,119,69,Leeman Bennett,0.42,4,3,0.25,1,0,0,50,8
1.0,0,0,10,3,Dutch Bergman,0.667,2,1,0.5,1,0,1,6,1
2.5,0,1,87,39,Raymond Berry,0.552,5,2,0.6,3,0,0,48,6
8.5,0,0,25,10,Punk Berryman,0.583,0,0,,0,0,1,14,2
5.0,0,0,7,6,Tom Bettis,0.143,0,0,,0,0,0,1,1
4.5,0,0,14,13,Hugo Bezdek,0.071,0,0,,0,0,0,1,2
4.0,0,0,8,2,Scotty Bierce,0.667,0,0,,0,0,2,4,1
3.7,,,31,23,Ed Biles,0.258,0,0,,0,,0,8,3
2.3,1,1,144,64,Brian Billick,0.556,8,3,0.625,5,1,0,80,9
4.8,0,0,48,31,Lisle Blackbourn,0.354,0,0,,0,0,0,17,4
4.0,0,0,25,19,Johnny Blood,0.24,0,0,,0,0,0,6,3
4.0,0,0,6,3,Pat Boland,0.4,0,0,,0,0,1,2,1
2.5,,,19,7,Todd Bowles,0.632,0,0,,0,,0,12,2
3.0,,,48,36,Gus Bradley,0.25,0,0,,0,,0,12,3
16.0,0,0,6,6,Joe Brandy,0.0,0,0,,0,0,0,0,1
14.5,0,0,10,7,Wayne Brenkert,0.3,0,0,,0,0,0,3,2
10.0,0,0,10,5,Untz Brewer,0.375,0,0,,0,0,2,3,1
18.0,0,0,2,2,Charlie Brickley,0.0,0,0,,0,0,0,0,1
5.0,0,0,5,5,Frank Bridges,0.0,0,0,,0,0,0,0,1
7.0,0,0,7,3,Marty Brill,0.5,0,0,,0,0,1,3,1
3.0,,,32,19,Rich Brooks,0.406,0,0,,0,,0,13,2
2.0,7,0,326,104,Paul Brown,0.672,17,8,0.529,9,0,9,213,25
4.0,0,0,1,0,Fred Bruney,1.0,0,0,,0,0,0,1,1
15.5,0,0,15,13,Johnny Bryan,0.133,0,0,,0,0,0,2,2
4.6,0,0,80,56,Joe Bugel,0.3,0,0,,0,0,0,24,5
3.3,0,0,22,18,Hank Bullough,0.182,0,0,,0,0,0,4,3
2.5,,,95,43,Jerry Burns,0.547,6,3,0.5,3,,0,52,6
3.0,,,44,27,Tom Cable,0.386,0,0,,0,,0,17,3
2.2,0,1,80,36,Jim Caldwell,0.55,5,3,0.4,2,0,0,44,5
2.0,,1,32,17,Bill Callahan,0.469,3,1,0.667,2,,0,15,2
4.0,0,0,16,15,Cam Cameron,0.063,0,0,,0,0,0,1,1
4.0,,,12,7,Dan Campbell,0.417,0,0,,0,,0,5,1
4.0,,,30,22,Hugh Campbell,0.267,0,0,,0,,0,8,2
3.9,0,0,115,80,Marion Campbell,0.3,0,0,,0,0,1,34,9
4.3,0,0,48,33,Dave Campo,0.313,0,0,,0,0,0,15,3
3.3,0,0,128,80,Dom Capers,0.375,2,1,0.5,1,0,0,48,8
2.5,1,2,160,67,Pete Carroll,0.581,13,5,0.615,8,1,0,93,10
2.5,,,25,13,Bud Carson,0.46,2,1,0.5,1,,1,11,2
4.0,0,0,11,8,Eddie Casey,0.2,0,0,,0,0,1,2,1
4.5,0,0,15,13,Pete Cawthon,0.133,0,0,,0,0,0,2,2
3.2,4,0,81,16,Guy Chamberlin,0.784,0,0,,0,0,7,58,6
18.0,0,0,2,2,Coonie Checkaye,0.0,0,0,,0,0,0,0,1
6.0,0,0,10,6,Jack Chevigny,0.25,0,0,,0,0,2,2,1
2.2,,,74,35,Brad Childress,0.527,3,2,0.333,1,,0,39,5
5.0,0,0,67,38,Jack Christiansen,0.406,0,0,,0,0,3,26,5
4.0,,,16,12,Rob Chudzinski,0.25,0,0,,0,,0,4,1
6.0,0,0,8,8,Algy Clark,0.0,0,0,,0,0,0,0,1
3.3,0,0,66,34,Dutch Clark,0.469,0,0,,0,0,2,30,6
2.9,0,0,119,67,Monte Clark,0.433,2,2,0.0,0,0,1,51,8
2.6,1,0,118,42,Potsy Clark,0.604,1,0,1.0,1,0,12,64,10
10.0,0,0,3,2,Stan Cofall,0.0,0,0,,0,0,1,0,1
1.4,1,0,112,34,Blanton Collier,0.691,7,4,0.429,3,0,2,76,8
3.0,0,0,30,16,Joe Collier,0.448,1,1,0.0,0,0,1,13,3
4.0,0,0,9,8,Bill Conkright,0.111,0,0,,0,0,0,1,1
